GET / - [21/Nov/2024:20:34:53 +0000] - - ms localhost
POST /user/login 200 [21/Nov/2024:20:39:00 +0000] - 1211.871 ms localhost
POST /user/verifyOtp 200 [21/Nov/2024:20:39:16 +0000] - 75.340 ms localhost
POST /user/verifyOtp 200 [21/Nov/2024:20:39:25 +0000] - 19.819 ms localhost
POST /user/verifyOtp 200 [21/Nov/2024:20:41:33 +0000] - 11.232 ms localhost
GET /user/sendOtp/672fa8abb6da377b761a20dc 200 [21/Nov/2024:20:41:37 +0000] - 18.262 ms localhost
POST /user/verifyOtp 200 [21/Nov/2024:20:42:23 +0000] - 18.699 ms localhost
POST /user/login 200 [21/Nov/2024:20:46:17 +0000] - 191.379 ms localhost
POST /user/verifyOtp 200 [21/Nov/2024:20:46:32 +0000] - 19.432 ms localhost
GET /user/logout 304 [21/Nov/2024:20:46:54 +0000] - 7.906 ms localhost
GET /login 200 [22/Nov/2024:07:08:51 +0000] - 1959.407 ms localhost
GET /main.js 200 [22/Nov/2024:07:08:52 +0000] - 430.947 ms localhost
GET /styles.css 200 [22/Nov/2024:07:08:52 +0000] - 302.193 ms localhost
GET /polyfills.js 304 [22/Nov/2024:07:08:52 +0000] - 306.321 ms localhost
GET /@vite/client 200 [22/Nov/2024:07:08:52 +0000] - 622.414 ms localhost
GET /@fs/C:/Users/USER/Desktop/AngularTypescript/frontend/node_modules/vite/dist/client/env.mjs 200 [22/Nov/2024:07:08:53 +0000] - 50.256 ms localhost
GET /@fs/C:/Users/USER/Desktop/AngularTypescript/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common_http.js?v=93c98e9a 200 [22/Nov/2024:07:08:53 +0000] - 29.848 ms localhost
GET /@fs/C:/Users/USER/Desktop/AngularTypescript/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js?v=93c98e9a 200 [22/Nov/2024:07:08:53 +0000] - 27.687 ms localhost
GET /@fs/C:/Users/USER/Desktop/AngularTypescript/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_core.js?v=93c98e9a 200 [22/Nov/2024:07:08:53 +0000] - 24.790 ms localhost
GET /@fs/C:/Users/USER/Desktop/AngularTypescript/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_router.js?v=93c98e9a 200 [22/Nov/2024:07:08:53 +0000] - 21.809 ms localhost
GET /@fs/C:/Users/USER/Desktop/AngularTypescript/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_forms.js?v=93c98e9a 200 [22/Nov/2024:07:08:53 +0000] - 28.185 ms localhost
GET /@fs/C:/Users/USER/Desktop/AngularTypescript/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-IWPSFZO5.js?v=272abf53 200 [22/Nov/2024:07:08:53 +0000] - 19.623 ms localhost
GET /@fs/C:/Users/USER/Desktop/AngularTypescript/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-AG2PCX34.js?v=272abf53 200 [22/Nov/2024:07:08:53 +0000] - 20.475 ms localhost
GET /@fs/C:/Users/USER/Desktop/AngularTypescript/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-EHVSD3XR.js?v=272abf53 200 [22/Nov/2024:07:08:53 +0000] - 28.187 ms localhost
GET /@fs/C:/Users/USER/Desktop/AngularTypescript/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-Y7KSPQPP.js?v=272abf53 200 [22/Nov/2024:07:08:53 +0000] - 34.862 ms localhost
GET /favicon.ico 304 [22/Nov/2024:07:08:57 +0000] - 9.054 ms localhost
GET / - [22/Nov/2024:07:12:53 +0000] - - ms localhost
GET /login 200 [22/Nov/2024:08:23:22 +0000] - 159.261 ms localhost
GET /@vite/client 304 [22/Nov/2024:08:23:22 +0000] - 145.997 ms localhost
GET /styles.css 200 [22/Nov/2024:08:23:22 +0000] - 122.271 ms localhost
GET /polyfills.js 304 [22/Nov/2024:08:23:22 +0000] - 131.680 ms localhost
GET /main.js 304 [22/Nov/2024:08:23:22 +0000] - 31.858 ms localhost
GET /@fs/C:/Users/USER/Desktop/AngularTypescript/frontend/node_modules/vite/dist/client/env.mjs 304 [22/Nov/2024:08:23:23 +0000] - 3.557 ms localhost
GET /favicon.ico 304 [22/Nov/2024:08:23:24 +0000] - 37.000 ms localhost
GET / - [22/Nov/2024:08:27:23 +0000] - - ms localhost
GET / - [22/Nov/2024:12:14:13 +0000] - - ms localhost
GET /login 200 [22/Nov/2024:13:56:42 +0000] - 284.189 ms localhost
GET /styles.css 200 [22/Nov/2024:13:56:42 +0000] - 13.910 ms localhost
GET /@vite/client 304 [22/Nov/2024:13:56:42 +0000] - 48.501 ms localhost
GET /polyfills.js 304 [22/Nov/2024:13:56:42 +0000] - 6.577 ms localhost
GET /main.js 304 [22/Nov/2024:13:56:42 +0000] - 11.606 ms localhost
GET /@fs/C:/Users/USER/Desktop/AngularTypescript/frontend/node_modules/vite/dist/client/env.mjs 304 [22/Nov/2024:13:56:42 +0000] - 3.269 ms localhost
GET /favicon.ico 304 [22/Nov/2024:13:56:45 +0000] - 25.938 ms localhost
GET / - [22/Nov/2024:14:00:43 +0000] - - ms localhost
GET / 504 [23/Nov/2024:10:31:03 +0000] - 84.878 ms localhost
GET /login 200 [23/Nov/2024:10:31:34 +0000] - 95.691 ms localhost
GET /styles.css 200 [23/Nov/2024:10:31:34 +0000] - 32.367 ms localhost
GET /polyfills.js 304 [23/Nov/2024:10:31:34 +0000] - 33.346 ms localhost
GET /main.js 200 [23/Nov/2024:10:31:34 +0000] - 46.755 ms localhost
GET /@vite/client 200 [23/Nov/2024:10:31:34 +0000] - 128.689 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [23/Nov/2024:10:31:34 +0000] - 4.913 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js?v=49b27446 200 [23/Nov/2024:10:31:40 +0000] - 5631.784 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_core.js?v=49b27446 200 [23/Nov/2024:10:31:40 +0000] - 5631.558 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common_http.js?v=49b27446 200 [23/Nov/2024:10:31:40 +0000] - 5628.063 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_forms.js?v=49b27446 200 [23/Nov/2024:10:31:40 +0000] - 5636.521 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_router.js?v=49b27446 200 [23/Nov/2024:10:31:40 +0000] - 5656.055 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-Y7KSPQPP.js?v=852b6182 200 [23/Nov/2024:10:31:40 +0000] - 39.685 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-IWPSFZO5.js?v=852b6182 200 [23/Nov/2024:10:31:40 +0000] - 39.176 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-AG2PCX34.js?v=852b6182 200 [23/Nov/2024:10:31:40 +0000] - 40.065 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-EHVSD3XR.js?v=852b6182 200 [23/Nov/2024:10:31:40 +0000] - 44.549 ms localhost
GET /favicon.ico 304 [23/Nov/2024:10:31:40 +0000] - 6.316 ms localhost
POST /user/login 200 [23/Nov/2024:10:31:47 +0000] - 411.240 ms localhost
POST /user/verifyOtp 200 [23/Nov/2024:10:32:14 +0000] - 13.835 ms localhost
GET /user/logout 304 [23/Nov/2024:10:33:55 +0000] - 18.749 ms localhost
POST /user/login 200 [23/Nov/2024:10:34:03 +0000] - 165.177 ms localhost
POST /user/verifyOtp 504 [23/Nov/2024:10:34:39 +0000] - 60.730 ms localhost
GET / - [23/Nov/2024:10:35:34 +0000] - - ms localhost
GET /styles.css 200 [23/Nov/2024:10:38:33 +0000] - 46.679 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common_http.js.map 200 [23/Nov/2024:10:38:33 +0000] - 108.177 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js.map 200 [23/Nov/2024:10:38:33 +0000] - 130.219 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_core.js.map 200 [23/Nov/2024:10:38:33 +0000] - 126.395 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_router.js.map 200 [23/Nov/2024:10:38:33 +0000] - 146.982 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-Y7KSPQPP.js.map 200 [23/Nov/2024:10:38:33 +0000] - 163.467 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_forms.js.map 200 [23/Nov/2024:10:38:33 +0000] - 209.484 ms localhost
GET /styles.css.map 200 [23/Nov/2024:10:38:33 +0000] - 109.441 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-AG2PCX34.js.map 200 [23/Nov/2024:10:38:34 +0000] - 370.139 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-IWPSFZO5.js.map 200 [23/Nov/2024:10:38:34 +0000] - 581.547 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-EHVSD3XR.js.map 200 [23/Nov/2024:10:38:34 +0000] - 679.236 ms localhost
GET /otp/672fa8abb6da377b761a20dc 200 [23/Nov/2024:10:38:59 +0000] - 19.642 ms localhost
GET /styles.css 200 [23/Nov/2024:10:38:59 +0000] - 5.804 ms localhost
GET /@vite/client 304 [23/Nov/2024:10:38:59 +0000] - 12.931 ms localhost
GET /polyfills.js 304 [23/Nov/2024:10:38:59 +0000] - 11.481 ms localhost
GET /main.js 304 [23/Nov/2024:10:38:59 +0000] - 8.080 ms localhost
GET /styles.css.map 200 [23/Nov/2024:10:38:59 +0000] - 6.982 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [23/Nov/2024:10:38:59 +0000] - 6.098 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js.map 304 [23/Nov/2024:10:38:59 +0000] - 6.673 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-Y7KSPQPP.js.map 304 [23/Nov/2024:10:38:59 +0000] - 33.540 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-IWPSFZO5.js.map 304 [23/Nov/2024:10:38:59 +0000] - 37.076 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-AG2PCX34.js.map 304 [23/Nov/2024:10:38:59 +0000] - 42.622 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_core.js.map 304 [23/Nov/2024:10:38:59 +0000] - 39.811 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-EHVSD3XR.js.map 304 [23/Nov/2024:10:39:00 +0000] - 205.854 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_router.js.map 304 [23/Nov/2024:10:39:00 +0000] - 181.486 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common_http.js.map 304 [23/Nov/2024:10:39:00 +0000] - 109.453 ms localhost
